name,site,phone,full_address,street,city,postal_code,country,rating,reviews,photo,working_hours,business_status,description,location_link
1522 The Pub JP Nagar,http://thepub1522.com/,+91 63640 01522,"6th Phase, Chandana, Number 613, Outer Ring Rd, J. P. Nagar, Bengaluru, Karnataka 560078","6th Phase, Chandana, Number 613, Outer Ring Rd",Bengaluru,560078,India,4.2,6480,https://lh3.googleusercontent.com/p/AF1QipNgHoEwiA5nHhPxNrIRdHvHYUlo0a6vXzaeIRca=w800-h500-k-no,"{""Monday"": ""11am-1am"", ""Tuesday"": ""11am-1am"", ""Wednesday"": ""11am-1am"", ""Thursday"": ""11am-1am"", ""Friday"": ""11am-1am"", ""Saturday"": ""11am-1am"", ""Sunday"": ""11am-1am""}",OPERATIONAL,"Hip locale featuring a stylish outdoor deck, plus bar bites, cocktails, mocktails & music.","https://www.google.com/maps/place/1522+The+Pub+JP+Nagar/@12.9062095,77.57587749999999,14z/data=!4m8!1m2!2m1!1s1522+The+Pub+JP+Nagar!3m4!1s0x3bae15ad3919ab11:0x903e1b501b1e1243!8m2!3d12.9062095!4d77.57587749999999"
Toast on Terrace,,+91 99002 43243,"Kashi Nagar, Kumaraswamy Layout, Bengaluru, Karnataka 560078",,Bengaluru,560078,India,4.1,1300,https://lh3.googleusercontent.com/p/AF1QipPnsEhwoiRMfff3T6e10Nm6x9ftLlsOZOj9zgL8=w800-h500-k-no,"{""Monday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Friday"": ""12pm-12am"", ""Saturday"": ""12pm-12am"", ""Sunday"": ""12pm-12am""}",OPERATIONAL,,"https://www.google.com/maps/place/Toast+on+Terrace/@12.896777,77.570399,14z/data=!4m8!1m2!2m1!1sToast+on+Terrace!3m4!1s0x3bae155aa8f63bf7:0x127eb4c990d99ea0!8m2!3d12.896777!4d77.570399"
The Pump House,https://thepumphouse.in/,+91 96061 27666,"607, 15th Cross, Outer Ring Rd, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078","607, 15th Cross, Outer Ring Rd",Bengaluru,560078,India,4.5,27269,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8ZZrLaFYGFhTF6N4h3QbDyBYCBsdAd0X_d1FZfFskAdKOCGorF3xDJQmfHTTM6OLXGSrphYkjGtgV6-2HVKWdFLTV8WqUiGo1UaE_PwCXDJQHaZlxAqb2pJD60FM4O_DVWUiE=w800-h500-k-no,"{""Monday"": ""12pm-1am"", ""Tuesday"": ""12pm-1am"", ""Wednesday"": ""12pm-1am"", ""Thursday"": ""12pm-1am"", ""Friday"": ""12pm-1am"", ""Saturday"": ""12pm-1am"", ""Sunday"": ""12pm-1am""}",OPERATIONAL,"Massive space with glass walls & plant-filled decor, with house-brewed beers & continental food.","https://www.google.com/maps/place/The+Pump+House/@12.906497199999999,77.582162,14z/data=!4m8!1m2!2m1!1sThe+Pump+House!3m4!1s0x3bae1520cfb05145:0xf31d15904772bc95!8m2!3d12.906497199999999!4d77.582162"
Pub 1992,,,"Ganapathipura, Konanakunte, Bengaluru, Karnataka 560078",,Bengaluru,560078,India,4.2,57,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8epqjkQK-Lbk2bZH0goE2iOkCoscnagCyV6mDYTOihah_AX7EZwgsSCaq8YamU6A9jD6QeWxYLYp7VTcd1SKFtMjCeZ1RIJ6CKSEfzyU3UcTU6DRJLJKMjYTLNxIKFnvKYTAY=w800-h500-k-no,"{""Monday"": ""10-11pm"", ""Tuesday"": ""10-11pm"", ""Wednesday"": ""10-11pm"", ""Thursday"": ""10-11pm"", ""Friday"": ""10-11pm"", ""Saturday"": ""10-11pm"", ""Sunday"": ""10-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Pub+1992/@12.890968299999999,77.5717239,14z/data=!4m8!1m2!2m1!1sPub+1992!3m4!1s0x3bae151732dc9d39:0x285df50765e9b0fe!8m2!3d12.890968299999999!4d77.5717239"
Tipsy Bull - The Bar Exchange - JP Nagar,http://www.tipsybull.com/,+91 88844 42009,"Outer Ring Rd, Rose Garden, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",Outer Ring Rd,Bengaluru,560078,India,4.3,6450,https://lh3.googleusercontent.com/gps-cs-s/AB5caB9Bs8jR5btvwGPCFqcAUNzNjKbB9c1cp_GVSV2C-T263Hh7pOKMx2p7j-RRzwgFKgq0ORrBrnKXEOus1qhd5zFYTQnIJ-Oy_lehrDE3G7ghkm4CXMC6TSYJS-Dh69tpwGvRZrY=w800-h500-k-no,"{""Monday"": ""12pm-12:30am"", ""Tuesday"": ""12pm-12:30am"", ""Wednesday"": ""12pm-12:30am"", ""Thursday"": ""12pm-12:30am"", ""Friday"": ""12pm-12:30am"", ""Saturday"": ""12pm-12:30am"", ""Sunday"": ""12pm-12:30am""}",OPERATIONAL,,"https://www.google.com/maps/place/Tipsy+Bull+-+The+Bar+Exchange+-+JP+Nagar/@12.906259499999999,77.5775857,14z/data=!4m8!1m2!2m1!1sTipsy+Bull+-+The+Bar+Exchange+-+JP+Nagar!3m4!1s0x3bae1500a0b8356f:0xe5415a5a6cef2bef!8m2!3d12.906259499999999!4d77.5775857"
The Palms Brew and Kitchen,,+91 96069 75694,"4/A2, Kothnur Main Rd, Puttenahalli, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","4/A2, Kothnur Main Rd",Bengaluru,560078,India,4.7,3241,https://lh3.googleusercontent.com/gps-cs-s/AB5caB-zYNvqy0AUBs4-An_GDoEb7IUghjQY4VZJ6zEdwZzyoV0UqOxo-gUOpxwfB1Qok4hWfF7gzfAtDNyT6kxG_nmPwpjf6-URZealekgNVmawbXnvSpWllyE9G8Gr3eL__q-fPVKgzQ=w800-h500-k-no,"{""Monday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Friday"": ""12pm-12am"", ""Saturday"": ""12pm-12am"", ""Sunday"": ""12pm-12am""}",OPERATIONAL,,"https://www.google.com/maps/place/The+Palms+Brew+and+Kitchen/@12.8967025,77.5818269,14z/data=!4m8!1m2!2m1!1sThe+Palms+Brew+and+Kitchen!3m4!1s0x3bae157821c46fdf:0x716146398f730964!8m2!3d12.8967025!4d77.5818269"
The Mermaid,,,"2nd Floor, 144, near, Kanakapura Main Rd, opp. to Shell Petroleum, Jarganahalli, Ganapathipura, Kumaraswamy Layout, Bengaluru, Karnataka 560078","2nd Floor, 144, near, Kanakapura Main Rd, opp. to Shell Petroleum",Bengaluru,560078,India,4.5,68,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8ZdqY8nSB5SxKWBg0KYez3gZxW-6g5etBrbss_sSqfO_FLYhu2hkBIMK6clWdObUa102YvjZ8zOKL3iIO2igOrj2q4GDth0uyF8OExHU8GKLcGTIzMaQc-_DST-nAYvE71dJv_-A=w800-h500-k-no,"{""Monday"": ""10:30am-11pm"", ""Tuesday"": ""10:30am-11pm"", ""Wednesday"": ""10:30am-11pm"", ""Thursday"": ""10:30am-11pm"", ""Friday"": ""10:30am-11:30pm"", ""Saturday"": ""10:30am-11:30pm"", ""Sunday"": ""10:30am-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/The+Mermaid/@12.896555699999999,77.571134,14z/data=!4m8!1m2!2m1!1sThe+Mermaid!3m4!1s0x3bae158aaa4e2a21:0x49fd2939a7ca7b0a!8m2!3d12.896555699999999!4d77.571134"
Rajarajeshwari Bar& Restaurant,,,"A-536, Chunchgatta Main Rd, Beereshwara Nagar, Chunchgatta, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560078","A-536, Chunchgatta Main Rd",Bengaluru,560078,India,4.2,401,https://lh3.googleusercontent.com/gps-cs-s/AB5caB8FVjTR5plnRTrfMfHtV403QjiCUZctPq5sYusMEFQ4gXII02BHCDyjyFs8fFk1EIRYAE19M-pF5bE12-o_vm00rYyRA7WuH11fWKelydLD9ectpdILghVJtN_YH6NeVYPaLaha=w800-h500-k-no,"{""Monday"": ""11am-11pm"", ""Tuesday"": ""11am-11pm"", ""Wednesday"": ""11am-11pm"", ""Thursday"": ""11am-11pm"", ""Friday"": ""11am-11pm"", ""Saturday"": ""11am-11pm"", ""Sunday"": ""11am-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Rajarajeshwari+Bar%26+Restaurant/@12.8911622,77.5716975,14z/data=!4m8!1m2!2m1!1sRajarajeshwari+Bar%26+Restaurant!3m4!1s0x3bae1563b8755d9d:0xe55ffe82affe835d!8m2!3d12.8911622!4d77.5716975"
Laxmi Bar & Restaurant,,,"69, Chunchgatta Main Rd, Om Shakthi Layout, Om Shiva Shakthi Nagar, Ganapathipura, Chunchaghatta, Bengaluru, Karnataka 560062","69, Chunchgatta Main Rd",Bengaluru,560062,India,3.7,370,https://lh3.googleusercontent.com/gps-cs-s/AB5caB9YdByp9TR-6WU4OQDQF4aoAxYnoxxN-67UuHaULngg4ALANgv81jvaF9IUmHEJAbnDiBDzXUKyaxKWPOvoPCACM7_1uiLWzI65RiA8TzQL9_JiORApkvyFGt8IBmtkAu9hSHcJfQ=w800-h500-k-no,"{""Monday"": ""9am-11pm"", ""Tuesday"": ""9am-11pm"", ""Wednesday"": ""9am-11pm"", ""Thursday"": ""9am-11pm"", ""Friday"": ""9am-11pm"", ""Saturday"": ""9am-11pm"", ""Sunday"": ""9am-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Laxmi+Bar+%26+Restaurant/@12.893842699999999,77.57113079999999,14z/data=!4m8!1m2!2m1!1sLaxmi+Bar+%26+Restaurant!3m4!1s0x3bae155c980e4c2d:0xc06b558579a2d616!8m2!3d12.893842699999999!4d77.57113079999999"
Manjunatha Bar & Restaurant,,,"144, Kanakapura Main Rd, Jarganahalli, Ganapathipura, Kumaraswamy Layout, Bengaluru, Karnataka 560078","144, Kanakapura Main Rd",Bengaluru,560078,India,3.9,411,https://lh3.googleusercontent.com/gps-cs-s/AB5caB_9g11y8DfN8QrnPFyvwleB3zP5BjFsAgICMg-Co9-FyQw7lrOrSBYKBEKwVJ3p-V107RThwCao0LkJJ4TZakZAYtkOSvMO7gxgoDuxuYzWMN_7h9o43qAO9h4Jl88TG6BO0gJE=w800-h500-k-no,"{""Monday"": ""12-11pm"", ""Tuesday"": ""12-11pm"", ""Wednesday"": ""12-11pm"", ""Thursday"": ""12-11pm"", ""Friday"": ""12-11pm"", ""Saturday"": ""12-11pm"", ""Sunday"": ""12-11pm""}",OPERATIONAL,,"https://www.google.com/maps/place/Manjunatha+Bar+%26+Restaurant/@12.8968534,77.5712636,14z/data=!4m8!1m2!2m1!1sManjunatha+Bar+%26+Restaurant!3m4!1s0x3bae155d7281e7c5:0xc4d84653e721ef32!8m2!3d12.8968534!4d77.5712636"
