id,name,slug,description,google_maps_url,website_url,phone,status,average_rating,review_count,cost_for_two_min,cost_for_two_max,cover_charge_min,cover_charge_max,cover_charge_redeemable,stag_entry_policy,couples_entry_policy,wheelchair_accessible,wifi_available,valet_available,happy_hours_note,operating_hours_raw,created_at,updated_at,tsv
051b4f41-6a5f-4c62-8654-269b4f930711,Blue Moon Bar and Restaurant,blue-moon-bar-and-restaurant,,"https://www.google.com/maps/place/Blue+Moon+Bar+and+Restaurant/@12.9134978,77.5587659,14z/data=!4m8!1m2!2m1!1sBlue+Moon+Bar+and+Restaurant!3m4!1s0x3bae3f454eeaa82b:0x19cbc307b22df3a4!8m2!3d12.9134978!4d77.5587659",,+91 72591 28852,operational,3.8,169,,,,,,,,,,,,"{""Friday"": ""Open 24 hours"", ""Monday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'bar':3 'blue':1 'moon':2 'restaur':5
0783353a-a564-4d0f-9b6e-f64b16637256,Neela Bar & Restaurant,neela-bar-&-restaurant,,"https://www.google.com/maps/place/Neela+Bar+%26+Restaurant/@12.9118629,77.5563268,14z/data=!4m8!1m2!2m1!1sNeela+Bar+%26+Restaurant!3m4!1s0x3bae3fd6d4e1e0db:0x43e88891786b7818!8m2!3d12.9118629!4d77.5563268",,+91 80 2596 5269,operational,3.8,789,,,,,,,,,,,,"{""Friday"": ""10:30am-11:30pm"", ""Monday"": ""10:30am-11:30pm"", ""Sunday"": ""10:30am-11:30pm"", ""Tuesday"": ""10:30am-11:30pm"", ""Saturday"": ""10:30am-11:30pm"", ""Thursday"": ""10:30am-11:30pm"", ""Wednesday"": ""10:30am-11:30pm""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'bar':2 'neela':1 'restaur':3
0c056e34-96cf-42e9-8b32-7299401fddb5,Fat Owl - Gastropub,fat-owl---gastropub,,"https://www.google.com/maps/place/Fat+Owl+-+Gastropub/@12.906552699999999,77.5813153,14z/data=!4m8!1m2!2m1!1sFat+Owl+-+Gastropub!3m4!1s0x3bae15443843d5a7:0xd3601220256daddc!8m2!3d12.906552699999999!4d77.5813153",https://fatowl.in/,+91 73492 26777,operational,4.1,3850,,,,,,,,,,,,"{""Friday"": ""12pm-1am"", ""Monday"": ""12pm-12am"", ""Sunday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Saturday"": ""12pm-1am"", ""Thursday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'fat':1 'gastropub':3 'owl':2
1ad1e858-d035-48e4-b41c-64d5529c7de3,Rajarajeshwari Bar& Restaurant,rajarajeshwari-bar&-restaurant,,"https://www.google.com/maps/place/Rajarajeshwari+Bar%26+Restaurant/@12.8911622,77.5716975,14z/data=!4m8!1m2!2m1!1sRajarajeshwari+Bar%26+Restaurant!3m4!1s0x3bae1563b8755d9d:0xe55ffe82affe835d!8m2!3d12.8911622!4d77.5716975",,,operational,4.2,401,,,,,,,,,,,,"{""Friday"": ""11am-11pm"", ""Monday"": ""11am-11pm"", ""Sunday"": ""11am-11pm"", ""Tuesday"": ""11am-11pm"", ""Saturday"": ""11am-11pm"", ""Thursday"": ""11am-11pm"", ""Wednesday"": ""11am-11pm""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'bar':2 'rajarajeshwari':1 'restaur':3
3184f905-6c4f-471e-a49d-e99929e92c7e,The Palms Brew and Kitchen,the-palms-brew-and-kitchen,,"https://www.google.com/maps/place/The+Palms+Brew+and+Kitchen/@12.8967025,77.5818269,14z/data=!4m8!1m2!2m1!1sThe+Palms+Brew+and+Kitchen!3m4!1s0x3bae157821c46fdf:0x716146398f730964!8m2!3d12.8967025!4d77.5818269",,+91 96069 75694,operational,4.7,3241,,,,,,,,,,,,"{""Friday"": ""12pm-12am"", ""Monday"": ""12pm-12am"", ""Sunday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Saturday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'brew':3 'kitchen':5 'palm':2
37f4af1f-4236-4064-af7d-78a89ddfe48b,Garden Court Bar And Restaurant,garden-court-bar-and-restaurant,,"https://www.google.com/maps/place/Garden+Court+Bar+And+Restaurant/@12.8972176,77.570898,14z/data=!4m8!1m2!2m1!1sGarden+Court+Bar+And+Restaurant!3m4!1s0x3bae155d73feae95:0xd5921bdd60795431!8m2!3d12.8972176!4d77.570898",,,operational,3.8,97,,,,,,,,,,,,"{""Friday"": ""10am-9pm"", ""Monday"": ""10am-9pm"", ""Sunday"": ""Closed"", ""Tuesday"": ""10am-9pm"", ""Saturday"": ""10am-9pm"", ""Thursday"": ""10am-9pm"", ""Wednesday"": ""10am-9pm""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'bar':3 'court':2 'garden':1 'restaur':5
3b7c9f60-c9cf-4fed-bc37-bbcf4bdb7cd6,LIT Gastropub Bangalore,lit-gastropub-bangalore,"Unassuming pub with sports screens & colorful decor, plus beer, cocktails & comfort food.","https://www.google.com/maps/place/LIT+Gastropub+Bangalore/@12.9200047,77.5835173,14z/data=!4m8!1m2!2m1!1sLIT+Gastropub+Bangalore!3m4!1s0x3bae159fba84a689:0xc2664e6a536a937f!8m2!3d12.9200047!4d77.5835173",,+91 93538 31382,operational,3.3,1193,,,,,,,,,,,,"{""Friday"": ""12pm-12am"", ""Monday"": ""12pm-12am"", ""Sunday"": ""12pm-12am"", ""Tuesday"": ""12pm-12am"", ""Saturday"": ""12pm-12am"", ""Thursday"": ""12pm-12am"", ""Wednesday"": ""12pm-12am""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'bangalor':3 'beer':12 'cocktail':13 'color':9 'comfort':14 'decor':10 'food':15 'gastropub':2 'lit':1 'plus':11 'pub':5 'screen':8 'sport':7 'unassum':4
5718497d-8073-419f-9eac-fb74f3b68c24,K27 THE PUB,k27-the-pub,,"https://www.google.com/maps/place/K27+THE+PUB/@12.9216033,77.5701749,14z/data=!4m8!1m2!2m1!1sK27+THE+PUB!3m4!1s0x3bae15acaad5671f:0x6a0b467378c3485d!8m2!3d12.9216033!4d77.5701749",,,operational,3.9,195,,,,,,,,,,,,"{""Friday"": ""11am-11:30pm"", ""Monday"": ""11am-11:30pm"", ""Sunday"": ""11am-11:30pm"", ""Tuesday"": ""11am-11:30pm"", ""Saturday"": ""11am-11:30pm"", ""Thursday"": ""11am-11:30pm"", ""Wednesday"": ""11am-11:30pm""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'k27':1 'pub':3
58bcc2da-8297-454f-a5b9-e44e563ed530,Pub 1992,pub-1992,,"https://www.google.com/maps/place/Pub+1992/@12.890968299999999,77.5717239,14z/data=!4m8!1m2!2m1!1sPub+1992!3m4!1s0x3bae151732dc9d39:0x285df50765e9b0fe!8m2!3d12.890968299999999!4d77.5717239",,,operational,4.2,57,,,,,,,,,,,,"{""Friday"": ""10-11pm"", ""Monday"": ""10-11pm"", ""Sunday"": ""10-11pm"", ""Tuesday"": ""10-11pm"", ""Saturday"": ""10-11pm"", ""Thursday"": ""10-11pm"", ""Wednesday"": ""10-11pm""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,'1992':2 'pub':1
5f1a76ea-70a3-4575-85f4-d2f67cb1b5a8,The Pump House,the-pump-house,"Massive space with glass walls & plant-filled decor, with house-brewed beers & continental food.","https://www.google.com/maps/place/The+Pump+House/@12.906497199999999,77.582162,14z/data=!4m8!1m2!2m1!1sThe+Pump+House!3m4!1s0x3bae1520cfb05145:0xf31d15904772bc95!8m2!3d12.906497199999999!4d77.582162",https://thepumphouse.in/,+91 96061 27666,operational,4.5,27269,,,,,,,,,,,,"{""Friday"": ""12pm-1am"", ""Monday"": ""12pm-1am"", ""Sunday"": ""12pm-1am"", ""Tuesday"": ""12pm-1am"", ""Saturday"": ""12pm-1am"", ""Thursday"": ""12pm-1am"", ""Wednesday"": ""12pm-1am""}",2025-11-10 07:48:29.272367+00,2025-11-10 07:48:29.272367+00,"'beer':17 'brew':16 'continent':18 'decor':12 'fill':11 'food':19 'glass':7 'hous':3,15 'house-brew':14 'massiv':4 'plant':10 'plant-fil':9 'pump':2 'space':5 'wall':8"
